label	auc	n	n_pred_pos	wr_pred_pos	avg_pnl_pred_pos	total_pnl_pred_pos	wr_all	avg_pnl_all	precision	recall	f1	threshold	best_threshold	best_wr	best_pnl	best_n_pred	train_n	test_n
1_baseline_z_vol	0.4643	630	417	45.8	1.37	571.9	46.7	0.33	0.458	0.6497	0.5373	0.5	0.5	45.8	571.9	417	1888	630
2_base_features	0.4696	630	504	46.0	-0.15	-74.8	46.7	0.33	0.4603	0.7891	0.5815	0.5	0.65	45.7	481.4	302	1888	630
3_base_regime	0.4714	630	496	44.8	-1.23	-611.7	46.7	0.33	0.4476	0.7551	0.562	0.5	0.65	46.0	392.6	274	1888	630
4_base_asset	0.4591	630	503	45.1	-0.12	-59.0	46.7	0.33	0.4513	0.7721	0.5696	0.5	0.65	42.9	164.8	233	1888	630
5_all_features	0.4475	630	475	43.8	-0.56	-263.8	46.7	0.33	0.4379	0.7075	0.541	0.5	0.65	43.5	80.4	154	1888	630
6_shorts_only	0.5265	359	288	43.4	-1.09	-313.4	42.6	-0.59	0.434	0.817	0.5669	0.5	0.65	48.1	118.7	129	1234	359
7_drop_losers	0.4728	589	448	44.4	-0.89	-398.2	45.8	-0.24	0.4442	0.737	0.5543	0.5	0.65	44.4	-260.4	196	1792	589
8_z3_filter	0.4832	246	143	42.7	-2.36	-337.0	44.7	-1.26	0.4266	0.5545	0.4822	0.5	0.55	45.5	-37.8	112	758	246
9_xgb_tuned	0.4592	630	478	44.1	-1.28	-612.8	46.7	0.33	0.4414	0.7177	0.5466	0.5	0.65	43.7	199.5	119	1888	630
10_logistic	0.4855	630	471	46.5	-0.49	-229.9	46.7	0.33	0.465	0.7449	0.5725	0.5	0.65	50.9	167.8	53	1888	630
11_shorts_clean_tuned	0.5463	341	338	42.9	-0.99	-334.7	42.5	-1.23	0.429	1.0	0.6004	0.5	0.65	47.0	108.4	185	1200	341
12_vol_gate_125	0.3529	70	61	57.4	5.92	361.1	60.0	7.6	0.5738	0.8333	0.6796	0.5	0.45	58.5	533.4	65	1654	70
13_minimal	0.4574	630	630	46.7	0.33	205.1	46.7	0.33	0.4667	1.0	0.6364	0.5	0.58	45.8	249.0	559	1888	630
